,England-Premier League,England-EFL Cup,England-League One,England-League Two,Scotland-Premiership,Scotland-Championship,Scotland-League One,Scotland-League Two
0,Arsenal,Birmingham City,Barnsley,Sutton Utd,Celtic,Dundee Utd,Alloa Athletic,Bonnyrigg Rose
1,Aston Villa,Blackburn Rovers,Bolton,Accrington Stanley,Rangers,Greenock Morton,Falkirk,Clyde
2,Bournemouth,Bristol City,Exeter City,MK Dons,Hibernian,Dunfermline,Hamilton,Dumbarton
3,Brentford,Cardiff City,Blackpool,Salford City,Hearts,Queens Park,Queen of The South,East Fife
4,Brighton,Coventry City,Cambridge Utd,Morecambe,Ross County,Partick Thistle,Stirling Albion,Elgin City
5,Burnley,Huddersfield Town,Charlton,Barrow,Motherwell,Raith Rovers,Kelty Hearts,Forfar Athletic
6,Chelsea,Hull City,Peterborough,Crawley Town,St Johnstone,Inverness,Cove Rangers,Peterhead
7,Everton,Ipswich Town,Shrewsbury Town,Gillingham,Kilmarnock,Airdrie,Montrose,Stenhousemuir
8,Crystal Palace,Leeds Utd,Stevenage,Harrogate Town,Aberdeen,Ayr Utd,Edinburgh City,Stranraer
9,Fulham,Leicester City,Portsmouth,Crewe,St Mirren,Arbroath,,Spartans
10,Liverpool,Middlesbrough,Carlisle Utd,Mansfield Town,Dundee,,,
11,Luton Town,Millwall,Fleetwood Town,Grimsby Town,Livingston,,,
12,Manchester City,Norwich,Bristol Rovers,Wimbledon,,,,
13,Manchester Utd,Plymouth Argyle,Derby County,Swindon Town,,,,
14,Newcastle Utd,Preston,Leyton Orient,Colchester Utd,,,,
15,Nottingham Forest,QPR,Northampton Town,Tranmere,,,,
16,Sheffield Utd,Rotherham,Reading,Bradford City,,,,
17,Tottenham,Sheffield Weds,Cheltenham Town,Doncaster Rovers,,,,
18,West Ham,Southampton,Oxford Utd,Stockport,,,,
19,Wolves,Stoke City,Burton Albion,Wrexham,,,,
20,,Sunderland,Wycombe,Forest Green Rovers,,,,
21,,Swansea,Lincoln City,Newport County,,,,
22,,Watford,Port Vale,Notts County,,,,
23,,West Brom,Wigan,Walsall,,,,
