,England-Premier League,England-EFL Cup,England-League One,England-League Two,Scotland-Premiership,Scotland-Championship,Scotland-League One,Scotland-League Two
0,Arsenal,Birmingham,Barnsley,Sutton United,Celtic,Dundee United,Alloa,Bonnyrigg Rose
1,Aston Villa,Blackburn,Bolton,Accrington Stanley,Rangers,Greenock Morton,Falkirk,Clyde
2,Bournemouth,Bristol City,Exeter City FC,Milton Keynes Dons,Hibernian,Dunfermline,Hamilton Academical,Dumbarton
3,Brentford,Cardiff,Blackpool,Salford City,Hearts,Queen's Park,Queen Of South,East Fife
4,Brighton,Coventry,Cambridge United,Morecambe FC,Ross County,Partick Thistle,Stirling Albion,Elgin City
5,Burnley,Huddersfield,Charlton,Barrow,Motherwell,Raith,Kelty Hearts,Forfar Athletic
6,Chelsea,Hull City,Peterborough,Crawley Town,St Johnstone,Inverness,Cove Rangers,Peterhead
7,Everton,Ipswich,Shrewsbury,Gillingham FC,Kilmarnock,Airdrieonians,Montrose,Stenhousemuir FC
8,Crystal Palace,Leeds United,Stevenage FC,Harrogate Town,Aberdeen,Ayr United,Edinburgh City,Stranraer
9,Fulham,Leicester,Portsmouth,Crewe,St Mirren FC,Arbroath FC,,Spartans
10,Liverpool,Middlesbrough,Carlisle United,Mansfield Town,Dundee,,,
11,Luton,Millwall,Fleetwood Town,Grimsby,Livingston,,,
12,Manchester City,Norwich,Bristol Rovers,AFC Wimbledon,,,,
13,Manchester United,Plymouth,Derby,Swindon Town,,,,
14,Newcastle United,Preston,Leyton Orient,Colchester United,,,,
15,Nottingham Forest,QPR,Northampton Town,Tranmere,,,,
16,Sheffield United,Rotherham,Reading,Bradford City,,,,
17,Tottenham,Sheffield Wednesday,Cheltenham,Doncaster,,,,
18,West Ham,Southampton,Oxford United,Stockport,,,,
19,Wolverhampton,Stoke City,Burton Albion,Wrexham,,,,
20,,Sunderland,Wycombe,Forest Green,,,,
21,,Swansea,Lincoln City,Newport County,,,,
22,,Watford,Port Vale,Notts County,,,,
23,,West Bromwich Albion,Wigan,Walsall,,,,
