,England-Premier League,England-EFL Cup,England-League One,England-League Two,Scotland-Premiership,Scotland-Championship,Scotland-League One,Scotland-League Two
0,Arsenal,Birmingham City,Barnsley,Sutton Utd,Celtic Glasgow,Dundee Utd,Alloa Athletic,Bonnyrigg Rose
1,Aston Villa,Blackburn,Bolton Wanderers,Accrington Stan,Rangers,Greenock Morton FC,Falkirk,Clyde FC
2,AFC Bournemouth,Bristol City,Exeter City,Milton Keynes Dons,Hibernian,Dunfermline Athletic FC,Hamilton Academical,Dumbarton
3,Brentford FC,Cardiff,Blackpool,Salford City,Heart of Midlothian FC,Queens Park,Queen of The South,East Fife FC
4,Brighton,Coventry City,Cambridge United,Morecambe FC,Ross County,Partick Thistle FC,Stirling Albion FC,Elgin City
5,Burnley FC,Huddersfield,Charlton Athletic,Barrow AFC,Motherwell,Raith Rovers,Kelty Hearts FC,Forfar Athletic FC
6,Chelsea,Hull City,Peterborough United,Crawley,St Johnstone, Inverness Caledonian Thistle FC,Cove Rangers FC,Peterhead FC
7,Everton FC,Ipswich Town,Shrewsbury Town,Gillingham FC,Kilmarnock,Airdrieonians FC,Montrose,Stenhousemuir FC
8,Crystal Palace,Leeds United,Stevenage FC,Harrogate Town,Aberdeen,Ayr Utd,Edinburgh City,Stranraer FC
9,Fulham,Leicester,Portsmouth,Crewe Alexandra,St Mirren,Arbroath FC,,Spartans FC
10,Liverpool FC,Middlesbrough,Carlisle Utd,Mansfield Town,Dundee,,,
11,Luton Town,Millwall,Fleetwood,Grimsby Town,Livingston,,,
12,Man City,Norwich City,Bristol Rovers,AFC Wimbledon,,,,
13,Man Utd,Plymouth Argyle,Derby County,Swindon,,,,
14,Newcastle United,Preston North End,Leyton Orient London,Colchester Utd,,,,
15,Nottingham Forest,QPR,Northampton,Tranmere Rovers,,,,
16,Sheffield United ,Rotherham Utd,Reading,Bradford City,,,,
17,Tottenham,Sheffield Wednesday,Cheltenham,Doncaster Rovers,,,,
18,West Ham United,Southampton,Oxford United,Stockport Cty,,,,
19,Wolves,Stoke City,Burton Albion,Wrexham AFC,,,,
20,,Sunderland AFC,Wycombe Wanderers,Forest Green Rovers,,,,
21,,Swansea City ,Lincoln City,Newport County,,,,
22,,Watford FC,Port Vale,Notts County,,,,
23,,West Brom,Wigan Athletic,Walsall FC,,,,
