,England-Premier League,England-EFL Cup,England-League One,England-League Two,Scotland-Premiership,Scotland-Championship,Scotland-League One,Scotland-League Two,Northern_Irish_Premiership,France_Ligue1,France_Ligue2,Laliga,Spain_Secunda_Division,Polish_1_Liga,German_Bundesliga_3,German_Bundesliga_2
0,Arsenal,Birmingham,Barnsley,Sutton United,Celtic,Dundee United,Alloa Athletic,Bonnyrig Rose Athletic,Linfield,Marseille,Caen,Rayo,Valladolid,Arka Gdynia,SSV Jahn Regensburg,St. Pauli
1,Aston Villa,Blackburn,Bolton,Accrington,Rangers,Greenock Morton,Falkirk,Clyde,Larne,Lille,Grenoble,Valencia,SD Amorebieta,Lechia Gdansk,SG Dynamo Dresden,Holstein Kiel
2,Bournemouth,Bristol City,Exeter,MK Dons,Hibernian,Dunfermline Athletic,Hamilton,Dumbarton,Cliftonville,Nice,Amiens,Alavés,Levante,Odra Opole,SC Verl,Hamburg
3,Brentford,Cardiff,Blackpool,Salford City,Heart of Midlothian,Queen's Park,Queen of the South,East Fife,Crusaders,Lorient,Bastia,Athletic Bilbao,Albacete,Tychy 71,SV Sandhausen,Greuther Furth
4,Brighton,Coventry,Cambridge Utd,Morecambe,Ross County,Partick Thistle,Stirling Albion,Elgin City,Glentoran,Paris SG,Troyes,Atletico Madrid,Alcorcon,Motor Lublin,SSV Ulm 1846,Fortuna Dusseldorf
5,Burnley,Huddersfield,Charlton,Barrow,Motherwell,Raith Rovers,Kelty Hearts,Forfar Athletic,Coleraine,Brest,Rodez Aveyron,Barcelona,Burgos,Wisla Krakow,FC Ingolstadt 04,Hannover
6,Chelsea,Hull,Peterborough,Crawley,St. Johnstone,Inverness CT,Cove Rangers,Peterhead,Glenavon,Clermont Foot,Dunkerque,Cadiz,Cartagena,Miedz Legnica,Erzgebirge Aue,Hertha Berlin
7,Everton,Ipswich,Shrewsbury,Gillingham,Kilmarnock,Airdrieonians,Montrose,Stenhousemuir,Loughgall FC,Le Havre,Ajaccio,Celta Vigo,Eibar,Wisla Plock,Rot-Weiss Essen,Elversberg
8,Crystal Palace,Leeds,Stevenage,Harrogate Town,Aberdeen,Ayr United,Edinburgh City,Stranraer,Carrick Rangers,Lens,Auxerre,Getafe,Elche,Gornik Leczna,FC Saarbrucken,Paderborn
9,Fulham,Leicester,Portsmouth,Crewe,St Mirren,Arbroath,,Spartans,Dungannon Swifts,Lyon,Guingamp,Girona,CD Eldense,Termalica BB Nieciecza,SC Preussen Munster,FC Nurnberg
10,Liverpool,Middlesbrough,Carlisle,Mansfield,Dundee,,,,Ballymena United,Metz,Pau,Granada,Espanyol,Stal Rzeszow,SpVgg Unterhaching,Wehen
11,Luton,Millwall,Fleetwood,Grimsby,Livingston,,,,Newry City,Monaco,Laval,Las Palmas,FC Andorra,Znicz Pruszkow,Dortmund II,Magdeburg
12,Man City,Norwich,Bristol Rovers,AFC Wimbledon,,,,,,Montpellier,Concarneau,Mallorca,Huesca,GKS Katowice,DSC Arminia Bielefeld,Schalke
13,Man Utd,Plymouth,Derby,Swindon,,,,,,Nantes,Angers,Osasuna,Leganés,Polonia Warszawa,Viktoria Köln 1904,Karlsruher SC
14,Newcastle,Preston,Leyton Orient,Colchester,,,,,,Rennes,Annecy,Betis,Mirandes,Chrobry Glogow,TSV 1860 München,Kaiserslautern
15,Nottingham Forest,QPR,Northampton,Tranmere,,,,,,Strasbourg,St Etienne,Real Madrid,Racing Ferrol,Resovia Rzeszów,Hallescher FC,Hansa Rostock
16,Sheffield Utd,Rotherham,Reading,Bradford,,,,,,Toulouse,Quevilly,Villarreal,Santander,Podbeskidzie Bielsko Biala,VfB Lubeck,Braunschweig
17,Spurs,Sheffield Wednesday,Cheltenham,Doncaster,,,,,,Reims,Paris,Real Sociedad,Oviedo Moderno,Zaglebie Sosnowiec,SV Waldhof Mannheim,Osnabruck
18,West Ham,Southampton,Oxford Utd,Stockport,,,,,,,Valenciennes,Sevilla FC,Zaragoza,,MSV Duisburg,
19,Wolves,Stoke,Burton,Wrexham,,,,,,,Bordeaux,Almería,Tenerife,,SC Freiburg II,
20,,Sunderland,Wycombe,Forest Green Rovers,,,,,,,,,VillarrealB,,,
21,,Swansea,Lincoln,Newport County,,,,,,,,,Sporting Gijon,,,
22,,Watford,Port Vale,Notts County,,,,,,,,,,,,
23,,West Brom,Wigan,Walsall,,,,,,,,,,,,
