,England-Premier League,England-EFL Cup,England-League One,England-League Two,Scotland-Premiership,Scotland-Championship,Scotland-League One,Scotland-League Two
0,Arsenal FC,Birmingham,Barnsley,Sutton Utd,Celtic,Dundee Utd,Alloa Athletic,Bonnyrigg Rose Athletic
1,Aston Villa,Blackburn,Bolton,Accrington Stanley,Rangers,Greenock Morton,Falkirk,Clyde
2,Bournemouth,Bristol City,Exeter City,Milton Keynes Dons,Hibernian,Dunfermline Athletic,Hamilton Academical,Dumbarton FC
3,Brentford,Cardiff,Blackpool,Salford City,Hearts,Queens Park,Queen of the South,East Fife
4,Brighton,Coventry,Cambridge Utd,Morecambe,Ross County,Partick,Stirling Albion,Elgin City
5,Burnley,Huddersfield,Charlton,Barrow A.F.C.,Motherwell,Raith Rovers,Kelty Hearts,Forfar Athletic FC
6,Chelsea,Hull,Peterborough,Crawley Town,St Johnstone,Inverness CT,Cove Rangers,Peterhead
7,Everton,Ipswich Town,Shrewsbury,Gillingham,Kilmarnock,Airdrieonians FC,Montrose,Stenhousemuir
8,Crystal Palace,Leeds,Stevenage,Harrogate Town,Aberdeen,Ayr United,FC Edinburgh,Stranraer
9,Fulham,Leicester,Portsmouth,Crewe Alexandra,St Mirren,Arbroth,,Spartans
10,Liverpool,Middlesbrough,Carlisle,Mansfield Town,Dundee FC,,,
11,Luton Town,Millwall,Fleetwood Town,Grimsby,Livingston,,,
12,Man City,Norwich,Bristol Rovers,AFC Wimbledon,,,,
13,Man Utd,Plymouth,Derby,Swindon,,,,
14,Newcastle,Preston,Leyton Orient,Colchester,,,,
15,Nottm Forest,QPR,Northampton,Tranmere,,,,
16,Sheff Utd,Rotherham,Reading,Bradford City AFC,,,,
17,Tottenham,Sheff Wed,Cheltenham,Doncaster Rovers,,,,
18,West Ham,Southampton,Oxford Utd,Stockport County,,,,
19,Wolverhampton,Stoke,Burton Albion,Wrexham,,,,
20,,Sunderland,Wycombe Wanderers FC,Forest Green Rovers,,,,
21,,Swansea,Lincoln City,Newport County,,,,
22,,Watford,Port Vale,Notts County,,,,
23,,West Brom,Wigan,Walsall,,,,
