,England-Premier League,England-EFL Cup,England-League One,England-League Two,Scotland-Premiership,Scotland-Championship,Scotland-League One,Scotland-League Two
0,Arsenal,Birmingham City,Barnsley,Sutton United,Celtic,Dundee United,Alloa Athletic FC,Bonnyrigg Rose
1,Aston Villa,Blackburn Rovers,Bolton Wanderers,Accrington Stanley,Rangers,Greenock Morton FC,Falkirk FC,Clyde FC
2,Bournemouth,Bristol City,Exeter City,Milton Keynes Dons,Hibernian FC,Dunfermline Athletic FC, Hamilton Academical FC,Dumbarton FC
3,Brentford,Cardiff City,Blackpool,Salford City,Heart of Midlothian FC,Queens Park FC,Queen of The South FC,East Fife FC
4,Brighton,Coventry City,Cambridge United ,Morecambe FC,Ross County FC,Partick Thistle FC,Stirling Albion FC,Elgin City FC
5,Burnley,Huddersfield,Charlton Athletic,Barrow AFC,Motherwell FC,Raith Rovers FC,Kelty Hearts FC,Forfar Athletic FC
6,Chelsea,Hull City,Peterborough United,Crawley Town,St Johnstone FC,Inverness Caledonian Thistle FC,Cove Rangers FC,Peterhead FC
7,Everton,Ipswich Town,Shrewsbury Town,Gillingham FC,Kilmarnock FC,Airdrieonians FC,Montrose FC,Stenhousemuir FC
8,Crystal Palace,Leeds United,Stevenage FC,Harrogate Town,Aberdeen,Ayr United FC,Edinburgh City FC,Stranraer FC
9,Fulham,Leicester,Portsmouth FC,Crewe Alexandra,St Mirren FC,Arbroath FC,,Spartans FC
10,Liverpool,Middlesbrough FC,Carlisle United,Mansfield Town,Dundee FC,,,
11,Luton,Millwall FC,Fleetwood Town,Grimsby Town,Livingston FC,,,
12,Man City,Norwich,Bristol Rovers,AFC Wimbledon ,,,,
13,Man Utd,Plymouth Argyle,Derby County,Swindon Town,,,,
14,Newcastle,Preston North End,Leyton Orient London,Colchester United,,,,
15,Nottingham,Queens Park Rangers,Northampton Town,Tranmere Rovers FC,,,,
16,Sheffield Utd,Rotherham United,Reading FC,Bradford City,,,,
17,Tottenham,Sheffield Wednesday,Cheltenham Town,Doncaster Rovers,,,,
18,West Ham,Southampton,Oxford United,Stockport County FC,,,,
19,Wolves,Stoke,Burton Albion,Wrexham AFC,,,,
20,,Sunderland AFC,Wycombe Wanderers,Forest Green Rovers,,,,
21,,Swansea,Lincoln City,Newport County,,,,
22,,Watford,Port Vale,Notts County,,,,
23,,West Bromwich,Wigan Athletic,Walsall FC,,,,
