,England-Premier League,England-EFL Cup,England-League One,England-League Two,Scotland-Premiership,Scotland-Championship,Scotland-League One,Scotland-League Two
0,Arsenal,Birmingham,Barnsley,Sutton United,Celtic,Dundee United,Alloa Athletic,Bonnyrigg Rose Athletic
1,Aston Villa,Blackburn Rovers,Bolton,Accrington Stanley,Rangers FC,Greenock Morton,Falkirk,Clyde
2,Bournemouth,Bristol City,Exeter,Milton Keynes Dons,Hibernian,Dunfermline Athletic, Hamilton Academical,Dumbarton
3,Brentford,Cardiff City,Blackpool,Salford City FC,Hearts,Queens Park Rangers,Queen of The South,East Fife
4,Brighton,Coventry City,Cambridge United,Morecambe,Ross County,Partick Thistle,Stirling Albion,Elgin City
5,Burnley,Huddersfield Town,Charlton Athletic,Barrow,Motherwell,Raith Rovers,Kelty Hearts,Forfar Athletic
6,Chelsea,Hull City,Peterborough United,Crawley Town,St Johnstone ,Inverness CT,Cove Rangers,Peterhead
7,Everton,Ipswich Town,Shrewsbury Town,Gillingham ,Kilmarnock,Airdrieonians,Montrose,Stenhousemuir
8,Crystal Palace,Leeds United,Stevenage FC,Harrogate Town,Aberdeen,Ayr United,Edinburgh City,Stranraer
9,Fulham,Leicester City,Portsmouth ,Crewe Alexandra,St Mirren,Arbroath,,Spartans FC
10,Liverpool,Middlesbrough,Carlisle,Mansfield Town,Dundee FC,,,
11,Luton Town,Millwall,Fleetwood Town ,Grimsby Town,Livingston,,,
12,Manchester City,Norwich City,Bristol Rovers,AFC Wimbledon,,,,
13,Manchester United,Plymouth Argyle,Derby County,Swindon Town,,,,
14,Newcastle United,Preston North End,Leyton Orient,Colchester United,,,,
15,Nottingham Forest,Queens Park Rangers,Northampton Town,Tranmere Rovers,,,,
16,Sheffield United,Rotherham United,Reading,Bradford City,,,,
17,Tottenham,Sheffield Wednesday,Cheltenham,Doncaster Rovers,,,,
18,West Ham,Southampton,Oxford United,Stockport County,,,,
19,Wolves,Stoke City,Burton Albion,Wrexham,,,,
20,,Sunderland,Wycombe Wanderers,Forest Green Rovers,,,,
21,,Swansea City,Lincoln City,Newport County,,,,
22,,Watford,Port Vale,Notts County,,,,
23,,West Bromwich,Wigan Athletic,Walsall,,,,
