League,Date,Home,Away,1,2
"Honduras • Liga Nacional, Aper...","22/12, 04:00",Olimpia,Motagua,1.74,1.87
"Australia • A-League, Women","22/12, 09:00",Western United Fc...,Perth Glory (W),1.49,2.33
"Australia • A-League, Women","22/12, 11:00",Sydney Fc (W),Brisbane Roar (W)...,1.79,1.85
Australia • A-League,"22/12, 11:45",Adelaide,Newcastle Jets,1.41,2.60
Israel • Liga Alef,"22/12, 13:00",Hapoel B. Hayarde...,M. Shaaraim,1.75,1.79
Israel • Liga Alef,"22/12, 13:00",Hapoel Bueine,Ironi Nesher,1.73,1.81
Israel • Liga Alef,"22/12, 13:00",Al-Gharbiyye,H. Migdal Haemeq,1.77,1.77
Israel • Liga Alef,"22/12, 13:00",Ms Tira,Hapoel Kafr Kanna...,1.49,2.18
Israel • Liga Alef,"22/12, 13:00",M Kiryat Ata,Hapoel Bnei Zalaf...,1.70,1.85
Israel • Liga Alef,"22/12, 13:35",Holon Yirmiyahu,Ironi Modiin,1.67,1.88
"Honduras • Liga Nacional, Aper...","22/12, 04:00",Olimpia,Motagua,1.74,1.87
"Australia • A-League, Women","22/12, 09:00",Western United Fc...,Perth Glory (W),1.49,2.33
"Australia • A-League, Women","22/12, 11:00",Sydney Fc (W),Brisbane Roar (W)...,1.79,1.85
Australia • A-League,"22/12, 11:45",Adelaide,Newcastle Jets,1.41,2.60
Israel • Liga Alef,"22/12, 13:00",Hapoel B. Hayarde...,M. Shaaraim,1.75,1.79
Israel • Liga Alef,"22/12, 13:00",Hapoel Bueine,Ironi Nesher,1.73,1.81
Israel • Liga Alef,"22/12, 13:00",Al-Gharbiyye,H. Migdal Haemeq,1.77,1.77
Israel • Liga Alef,"22/12, 13:00",Ms Tira,Hapoel Kafr Kanna...,1.49,2.18
Israel • Liga Alef,"22/12, 13:00",M Kiryat Ata,Hapoel Bnei Zalaf...,1.70,1.85
Israel • Liga Alef,"22/12, 13:35",Holon Yirmiyahu,Ironi Modiin,1.67,1.88
"Honduras • Liga Nacional, Aper...","22/12, 04:00",Olimpia,Motagua,1.74,1.87
"Australia • A-League, Women","22/12, 09:00",Western United Fc...,Perth Glory (W),1.49,2.33
"Australia • A-League, Women","22/12, 11:00",Sydney Fc (W),Brisbane Roar (W)...,1.79,1.85
Australia • A-League,"22/12, 11:45",Adelaide,Newcastle Jets,1.41,2.60
Israel • Liga Alef,"22/12, 13:00",Hapoel B. Hayarde...,M. Shaaraim,1.75,1.79
Israel • Liga Alef,"22/12, 13:00",Hapoel Bueine,Ironi Nesher,1.73,1.81
Israel • Liga Alef,"22/12, 13:00",Al-Gharbiyye,H. Migdal Haemeq,1.77,1.77
Israel • Liga Alef,"22/12, 13:00",Ms Tira,Hapoel Kafr Kanna...,1.49,2.18
Israel • Liga Alef,"22/12, 13:00",M Kiryat Ata,Hapoel Bnei Zalaf...,1.70,1.85
